alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
5,128,170,32256,0.0015952539443969726,1.2819766998291016e-05,2.231597900390625e-06,0.0016103053092956542,558.93
10,128,180,49445,0.0015182948112487792,1.748085021972656e-05,2.3937225341796873e-06,0.0015381693840026854,2293.56
15,128,190,70291,0.001235530376434326,3.8504600524902344e-05,3.2329559326171876e-06,0.0012772679328918457,5283.29
20,128,200,94794,0.0013242316246032714,0.00011839866638183594,5.366802215576172e-06,0.0014479970932006836,9609.66
25,128,210,122954,0.0014736175537109375,0.0002938103675842285,7.9345703125e-06,0.001775362491607666,15351.26
30,128,220,154771,0.0016802024841308593,0.0006404519081115723,1.2099742889404297e-05,0.0023327541351318357,22588.79
35,128,230,190245,0.0019255900382995606,0.0012351369857788086,1.6384124755859375e-05,0.003177111148834228,31399.46
