m_max,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
16,0.0005365538597106933,0.00040882349014282227,1.0371208190917968e-06,0.0009464144706726074,5016.86
17,0.0005887055397033691,0.00031283140182495115,0.0,0.0009015369415283202,5381.38
18,0.0004687619209289551,0.00031277179718017576,0.0,0.0007815337181091308,5758.9
19,0.0005441665649414063,0.0006794977188110352,0.0,0.0012236642837524414,6149.57
20,0.000843815803527832,0.0003160715103149414,0.0,0.0011598873138427735,6552.37
21,0.0008469772338867188,0.0003124523162841797,0.0,0.0011594295501708984,6968.58
22,0.0006251168251037597,0.0005907297134399414,0.0,0.001215846538543701,7397.49
23,0.00048380374908447266,0.0007058095932006836,2.0465850830078126e-05,0.0012100791931152345,7838.91
24,0.0006584358215332031,0.0005759930610656738,0.00015673160552978516,0.001391160488128662,8293.36
25,0.002582855224609375,0.0006883430480957031,0.0,0.0032711982727050785,8760.86
26,0.001185920238494873,0.0009892988204956055,0.0,0.0021752190589904782,9240.62
27,0.0010760927200317383,0.0012445759773254395,0.0,0.0023206686973571778,9733.38
28,0.0005043268203735352,0.0013948488235473633,0.0,0.0018991756439208985,10239.05
29,0.0005535650253295899,0.001255810260772705,0.0,0.0018093752861022949,10757.59
30,0.000468292236328125,0.0017023777961730957,0.00015622854232788086,0.002326898574829102,11288.45
31,0.0009644794464111329,0.0012501716613769532,0.0,0.002214651107788086,11832.76
32,0.0005337023735046387,0.0017835664749145507,0.0,0.0023172688484191894,12389.34
33,0.0007824301719665527,0.0013749074935913085,0.00015678644180297852,0.0023141241073608397,12959.08
34,0.0006935000419616699,0.0015320706367492676,0.00015622854232788086,0.0023817992210388187,13541.38
35,0.0009390377998352051,0.0015356230735778808,0.0,0.002474660873413086,14136.93
36,0.0011982178688049315,0.0017417120933532716,0.0,0.002939929962158203,14744.83
37,0.0004808163642883301,0.0024745345115661623,5.0089359283447266e-05,0.0030054402351379398,15365.61
38,0.0009381675720214844,0.0019117832183837891,0.0001558089256286621,0.003005759716033936,15999.14
39,0.0009882283210754395,0.002328481674194336,0.0,0.0033167099952697756,16645.46
40,0.0011581659317016601,0.002317914962768555,0.0,0.0034760808944702152,17304.55
41,0.0008406162261962891,0.003009939193725586,0.0,0.0038505554199218753,17976.82
42,0.0006993341445922851,0.003164527416229248,0.0001562380790710449,0.004020099639892578,18661.6
43,0.0012140798568725587,0.0029515862464904786,2.9754638671875e-06,0.0041686415672302244,19358.99
44,0.0008464670181274414,0.0035273098945617677,0.0,0.004373776912689209,20069.49
45,0.0008465051651000977,0.004130127429962158,0.0,0.0049766325950622555,20792.78
46,0.0008236598968505859,0.00430567741394043,0.0,0.005129337310791016,21528.71
47,0.0010645294189453125,0.004246523380279541,2.054452896118164e-05,0.005331597328186034,22277.5
48,0.0006251001358032227,0.004856843948364258,0.0,0.005481944084167481,23039.16
49,0.0015401601791381835,0.004470629692077637,0.0,0.006010789871215821,23813.35
50,0.0012498688697814941,0.004935002326965332,2.0356178283691405e-05,0.006205227375030519,24600.52
51,0.0014056968688964844,0.005234577655792236,0.0,0.006640274524688721,25400.64
52,0.001712791919708252,0.005296711921691895,0.0,0.007009503841400147,26213.19
53,0.0013186287879943847,0.005861480236053467,3.0422210693359374e-06,0.007183151245117187,27038.73
54,0.0016167259216308594,0.006234419345855713,0.0,0.007851145267486571,27877.76
55,0.0012520241737365722,0.006828773021697998,0.00023724794387817384,0.008318045139312743,28728.83
56,0.0011145830154418944,0.007500953674316406,4.429817199707031e-06,0.008619966506958008,29592.78
57,0.0018198513984680176,0.007420916557312012,0.0,0.00924076795578003,30469.47
58,0.0006983017921447754,0.00862945556640625,0.0,0.009327757358551025,31359.07
59,0.0010174727439880371,0.008799824714660644,0.0,0.00981729745864868,32261.35
60,0.0015033483505249023,0.009245524406433106,8.052825927734375e-05,0.010829401016235352,33176.53
61,0.0013355469703674315,0.009847028255462647,8.02469253540039e-05,0.011262822151184083,34104.89
62,0.0012215876579284668,0.010824024677276611,0.00018443822860717774,0.012230050563812255,35045.56
63,0.0013288211822509765,0.011211152076721192,0.0,0.01253997325897217,35999.05
64,0.002630293369293213,0.011372756958007813,1.9986629486083984e-05,0.01402303695678711,36965.39
65,0.0018288445472717284,0.011856729984283448,0.0,0.013685574531555177,37944.73
66,0.0019401812553405762,0.01291795015335083,6.546258926391601e-05,0.014923593997955321,38936.69
67,0.0015891647338867187,0.016714928150177003,0.00015626907348632814,0.01846036195755005,39941.6
68,0.0022319865226745604,0.014182972908020019,0.00015621185302734376,0.016571171283721924,40958.97
69,0.0012726020812988282,0.01691006660461426,0.0,0.01818266868591309,41989.58
70,0.003652513027191162,0.021172914505004883,0.00017075300216674806,0.024996180534362793,43032.79
71,0.0023526048660278322,0.017809321880340578,2.015829086303711e-05,0.020182085037231446,44088.54
72,0.003851175308227539,0.030615665912628175,2.110004425048828e-06,0.034468951225280764,45157.6
73,0.005813784599304199,0.04280747413635254,0.0,0.04862125873565674,46239.09
74,0.0030684733390808107,0.02858104705810547,7.61246681213379e-05,0.031725645065307624,47333.54
75,0.0028598189353942873,0.02927046060562134,1.0666847229003907e-05,0.03214094638824463,48440.64
76,0.002969152927398682,0.02611790895462036,4.0452480316162106e-05,0.029127514362335204,49560.67
77,0.00198979377746582,0.0216721773147583,0.0,0.02366197109222412,50693.08
78,0.0010588574409484863,0.023379786014556883,0.0001762962341308594,0.02461493968963623,51838.86
79,0.0024867868423461914,0.028006782531738283,4.173755645751953e-05,0.030535306930541992,52997.56
80,0.001064274311065674,0.028188345432281495,8.227825164794922e-05,0.02933489799499512,54168.68
81,0.0014310765266418457,0.026714046001434327,0.000331873893737793,0.028476996421813963,55352.63
82,0.0020420169830322266,0.026966848373413087,0.00015663862228393555,0.02916550397872925,56549.33
83,0.0019083404541015625,0.02902397871017456,1.987934112548828e-05,0.030952198505401613,57759.19
84,0.0010561490058898927,0.03309503078460693,0.0001393914222717285,0.03429057121276855,58981.57
85,0.0018846917152404786,0.03194399118423462,7.164478302001953e-06,0.0338358473777771,60216.51
86,0.0030326747894287107,0.035577967166900634,1.7142295837402345e-05,0.038627784252166744,61464.56
87,0.0020290303230285646,0.036476054191589356,0.00041054487228393556,0.03891562938690186,62725.55
88,0.0020133781433105467,0.04112020492553711,2.9141902923583985e-05,0.043162724971771246,63999.0
89,0.0024933838844299317,0.03661925077438354,9.925365447998047e-06,0.039122560024261475,65285.58
90,0.0018107104301452637,0.03930933952331543,1.4450550079345703e-05,0.04113450050354004,66584.69
91,0.0025603461265563967,0.04356844425201416,0.0001342010498046875,0.04626299142837524,67896.44
92,0.0027792882919311524,0.043135251998901364,2.1669864654541016e-05,0.04593621015548706,69221.68
93,0.002345213890075684,0.04248369693756104,0.0,0.04482891082763672,70558.93
94,0.0010578703880310058,0.046429178714752196,1.5659332275390627e-05,0.04750270843505859,71909.56
95,0.002452073097229004,0.045716850757598876,0.00023795366287231444,0.04840687751770019,73272.78
96,0.0024628472328186036,0.05040316104888916,0.0002420806884765625,0.05310808897018432,74648.72
97,0.0020371127128601075,0.05404162883758545,0.00021068334579467772,0.05628942489624023,76037.52
98,0.0018973183631896973,0.051845805644989015,4.622220993041992e-05,0.05378934621810913,77438.77
99,0.0027867412567138673,0.058637006282806395,1.996278762817383e-05,0.06144371032714844,78853.79
100,0.0032897019386291504,0.06926100254058838,0.0005442237854003906,0.07309492826461793,80280.6
