alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits,lambda,m_max
5,128,202,100133,0.0012636399269104004,7.524490356445312e-06,1.010894775390625e-06,0.0012721753120422364,645.1,128,64
10,128,212,129024,0.001856694221496582,1.4798641204833984e-05,2.105236053466797e-06,0.0018735980987548827,2636.87,128,64
15,128,222,161573,0.001852574348449707,4.995584487915039e-05,3.826618194580078e-06,0.0019063568115234375,6052.65,128,64
20,128,232,197779,0.0018777322769165038,0.0001523280143737793,6.487369537353516e-06,0.0020365476608276366,10972.33,128,64
25,128,242,237642,0.0023770403861999513,0.00038387775421142576,9.915828704833985e-06,0.002770833969116211,17473.02,128,64
30,128,252,281162,0.002372734546661377,0.0008409023284912109,1.4858245849609375e-05,0.003228495121002197,25632.76,128,64
35,128,262,328339,0.0025712728500366213,0.0016048860549926758,1.972198486328125e-05,0.004195880889892579,35529.02,128,64
