alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits,lambda,m_max
5,128,202,100133,0.0014007306098937989,0.012674732208251953,4.6792030334472654e-05,0.014122254848480226,100132.17,128,64
10,128,212,129024,0.0015896940231323242,0.021003525257110595,6.396055221557617e-05,0.022657179832458497,129022.9,128,64
15,128,222,161573,0.0016397762298583985,0.03456839561462402,8.672714233398437e-05,0.036294898986816405,161571.94,128,64
20,128,232,197779,0.001900491714477539,0.050148131847381594,0.00010007858276367187,0.052148702144622805,197777.9,128,64
25,128,242,237642,0.00228846549987793,0.07655423879623413,0.0001407766342163086,0.07898348093032838,237640.79,128,64
30,128,252,281162,0.002250406742095947,0.10095749616622925,0.00015352487564086913,0.10336142778396606,281161.02,128,64
35,128,262,328339,0.002213752269744873,0.1383980917930603,0.00017663240432739258,0.14078847646713258,328337.95,128,64
