alpha,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
32,0.0015290284156799316,0.0009556007385253906,9.973049163818359e-06,0.002494602203369141,8293.85
32,0.0013849759101867676,0.00042722225189208987,9.996891021728516e-06,0.001822195053100586,9240.69
32,0.0007817602157592774,0.0009156322479248047,0.00014173030853271485,0.001839122772216797,10238.77
32,0.0009369206428527832,0.0015192246437072754,9.968280792236329e-06,0.0024661135673522947,11288.77
32,0.001357560157775879,0.002143230438232422,0.0,0.003500790596008301,12389.61
32,0.0022259068489074705,0.0021065831184387206,0.0,0.004332489967346191,13541.41
32,0.0011355304718017579,0.003483312129974365,1.9931793212890624e-05,0.004638774394989014,14744.57
32,0.0005771708488464355,0.0024398112297058104,0.00015622854232788086,0.003173210620880127,15999.13
32,0.0008479285240173339,0.003167450428009033,0.0,0.0040153789520263675,17304.39
32,0.0020569658279418947,0.003230323791503906,9.927749633789063e-06,0.00529721736907959,18661.44
32,0.0013868093490600586,0.0036003422737121583,0.0,0.004987151622772217,20069.39
32,0.000974879264831543,0.004239020347595215,1.1396408081054688e-06,0.005215039253234863,21528.77
32,0.0017226886749267577,0.005728373527526856,0.0,0.007451062202453613,23038.86
32,0.0012328982353210448,0.005928900241851807,1.4464855194091797e-05,0.007176263332366943,24600.68
32,0.0014519119262695313,0.006825413703918457,1.9893646240234374e-05,0.008297219276428224,26213.57
32,0.001635115146636963,0.007367651462554931,6.151199340820313e-06,0.009008917808532715,27877.42
32,0.0015576052665710449,0.007739725112915039,1.1219978332519532e-05,0.009308550357818603,29592.58
32,0.000981593132019043,0.009491901397705078,1.9946098327636718e-05,0.010493440628051758,31359.11
32,0.0012871360778808595,0.010035824775695801,1.1839866638183593e-05,0.011334800720214845,33176.52
32,0.0016420292854309082,0.011482226848602294,2.217531204223633e-05,0.013146431446075439,35045.7
32,0.0014772558212280274,0.012330935001373292,1.9924640655517576e-05,0.013828115463256836,36965.49
32,0.0019687271118164064,0.013131964206695556,9.99927520751953e-06,0.015110690593719483,38936.69
32,0.0021384024620056154,0.015121176242828369,6.470918655395508e-05,0.01732428789138794,40958.93
32,0.0019077539443969726,0.017911369800567626,2.069234848022461e-05,0.01983981609344482,43032.76
32,0.0014039874076843262,0.018891000747680665,2.8443336486816406e-05,0.02032343149185181,45157.39
32,0.0016292309761047363,0.020726182460784913,8.432865142822265e-06,0.02236384630203247,47333.51
32,0.0022514843940734863,0.022507262229919434,0.0001562356948852539,0.024914982318878176,49560.63
32,0.0016970014572143554,0.024089038372039795,2.276420593261719e-05,0.025808804035186768,51839.17
32,0.001957290172576904,0.027635865211486817,2.0320415496826173e-05,0.029613475799560546,54168.62
32,0.0033188772201538084,0.030639803409576415,0.0001238727569580078,0.03408255338668823,56549.43
32,0.002112319469451904,0.03059272050857544,3.2231807708740234e-05,0.032737271785736086,58981.5
