alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
5,128,202,100133,0.0031993556022644042,0.08792714834213257,0.00013899803161621094,0.09126550197601319,100131.98
10,128,212,129024,0.003702559471130371,0.14231014490127564,3.793001174926758e-05,0.14605063438415528,129022.88
15,128,222,161573,0.005328946113586426,0.23511433362960815,4.293680191040039e-05,0.24048621654510496,161571.82
20,128,232,197779,0.004307265281677246,0.34041022300720214,0.00037158966064453124,0.3450890779495239,197777.97
25,128,242,237642,0.00554783582687378,0.4870402789115906,0.0003343939781188965,0.4929225087165833,237641.09
30,128,252,281162,0.005430188179016113,0.6788315677642822,0.00028176069259643554,0.6845435166358947,281160.97
35,128,262,328339,0.005877437591552734,0.9186524558067322,0.0002688288688659668,0.9247987222671508,328337.89
