alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
5,128,170,32256,0.0010603785514831543,0.0012840771675109864,1.4896392822265624e-05,0.0023593521118164063,32254.94
10,128,180,49445,0.0008734941482543945,0.0029560279846191405,2.1770000457763672e-05,0.0038512921333312988,49443.93
15,128,190,70291,0.001279277801513672,0.006106944084167481,3.236532211303711e-05,0.00741858720779419,70289.93
20,128,200,94794,0.0012434101104736328,0.010905566215515137,4.1718482971191404e-05,0.012190694808959962,94792.97
25,128,210,122954,0.0014442944526672364,0.018488953113555907,5.3980350494384765e-05,0.019987227916717528,122953.0
30,128,220,154771,0.0016654014587402343,0.02933398962020874,7.651567459106445e-05,0.031075906753540036,154769.79
35,128,230,190245,0.0019384217262268066,0.04410369634628296,9.144067764282226e-05,0.046133558750152584,190244.01
