alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits,lambda,m_max
5,256,298,56448,0.0027610373497009275,0.004044866561889649,3.2901763916015625e-05,0.0068388056755065915,56447.02,256,32
10,256,308,86528,0.0037222552299499513,0.009466114044189454,5.242347717285156e-05,0.013240792751312255,86526.93,256,32
15,256,318,123008,0.00407461404800415,0.019210479259490966,7.434606552124023e-05,0.023359439373016357,123006.84,256,32
20,256,328,165888,0.003746156692504883,0.03500836133956909,9.925365447998047e-05,0.03885377168655395,165886.87,256,32
25,256,338,215168,0.004470269680023193,0.05894690990447998,0.0001373291015625,0.06355450868606567,215166.79,256,32
30,256,348,270848,0.005024254322052002,0.09335391759872437,0.00017402172088623046,0.09855219364166261,270846.95,256,32
35,256,358,332928,0.005559484958648681,0.14443683385849,0.00021456241607666017,0.15021088123321533,332926.89,256,32
