alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits,lambda,m_max
5,128,170,32256,0.0011916470527648926,8.292198181152344e-06,1.0418891906738282e-06,0.0012009811401367187,558.79,128,32
10,128,180,49445,0.0011100459098815918,1.8436908721923828e-05,2.1910667419433593e-06,0.0011306738853454588,2293.41,128,32
15,128,190,70291,0.0014568734169006347,3.9203166961669924e-05,3.337860107421875e-06,0.0014994144439697266,5283.26,128,32
20,128,200,94794,0.0015617609024047852,0.0001187896728515625,5.6314468383789065e-06,0.0016861820220947265,9609.49,128,32
25,128,210,122954,0.0016549491882324218,0.00032512187957763674,9.0789794921875e-06,0.001989150047302246,15351.77,128,32
30,128,220,154771,0.001830902099609375,0.0006459927558898925,1.2462139129638673e-05,0.002489356994628906,22588.81,128,32
35,128,230,190245,0.0017611813545227051,0.0012589287757873535,1.676797866821289e-05,0.0030368781089782715,31399.82,128,32
