alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits,lambda,m_max
5,256,298,56448,0.003481616973876953,1.0242462158203125e-05,1.4662742614746095e-06,0.0034933257102966304,892.83,256,32
10,256,308,86528,0.003775882720947266,2.2318363189697265e-05,2.949237823486328e-06,0.0038011503219604497,3624.72,256,32
15,256,318,123008,0.004345877170562744,9.072065353393554e-05,6.086826324462891e-06,0.004442684650421142,8269.36,256,32
20,256,328,165888,0.004227199554443359,0.00030143022537231444,1.0218620300292969e-05,0.004538848400115967,14902.13,256,32
25,256,338,215168,0.004779207706451416,0.0007264304161071777,1.636981964111328e-05,0.005522007942199707,23596.57,256,32
30,256,348,270848,0.00469489336013794,0.001540076732635498,2.4018287658691405e-05,0.006258988380432129,34427.37,256,32
35,256,358,332928,0.0056213665008544925,0.0029003238677978516,3.161907196044922e-05,0.008553309440612793,47468.14,256,32
