alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits,lambda,m_max
5,256,330,175232,0.004974639415740967,9.903907775878906e-06,1.4829635620117187e-06,0.004986026287078858,972.94,256,64
10,256,340,225792,0.004665591716766357,2.679586410522461e-05,3.6215782165527343e-06,0.004696009159088134,3943.47,256,64
15,256,350,282752,0.0047132611274719235,0.00010524749755859375,7.114410400390625e-06,0.004825623035430908,8984.94,256,64
20,256,360,346112,0.005290865898132324,0.0003273916244506836,1.1539459228515625e-05,0.005629796981811524,16171.61,256,64
25,256,370,415872,0.00593693733215332,0.0008265924453735352,1.8427371978759767e-05,0.006781957149505615,25575.79,256,64
30,256,380,492032,0.006789138317108154,0.0017984676361083984,2.688407897949219e-05,0.008614490032196045,37271.93,256,64
35,256,390,574592,0.006746757030487061,0.0033648037910461426,3.591775894165039e-05,0.010147478580474854,51331.6,256,64
