alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
5,256,330,175232,0.004083304405212402,0.03791681289672852,0.00010234355926513672,0.04210246086120606,175230.92
10,256,340,225792,0.0040871500968933105,0.06224121570587158,0.00013838052749633788,0.06646674633026121,225791.27
15,256,350,282752,0.004837181568145752,0.0982679295539856,0.000175783634185791,0.10328089475631713,282751.06
20,256,360,346112,0.005244603157043457,0.15065404653549194,0.00021970510482788086,0.15611835479736327,346110.89
25,256,370,415872,0.006665995121002197,0.2183540105819702,0.0002764654159545898,0.22529647111892698,415870.77
30,256,380,492032,0.005662975311279297,0.3120179271697998,0.00033179283142089846,0.3180126953125,492030.98
35,256,390,574592,0.006470930576324463,0.41549904584884645,0.0003708004951477051,0.42234077692031863,574591.1
