alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits,lambda,m_max
5,256,330,175232,0.004229621887207031,0.03926408767700195,0.0001076507568359375,0.04360136032104492,175231.15,256,64
10,256,340,225792,0.005145142078399658,0.06512401103973389,0.00014528036117553711,0.07041443347930908,225790.98,256,64
15,256,350,282752,0.004721198081970215,0.10229444742202759,0.00018348932266235352,0.10719913482666016,282750.93,256,64
20,256,360,346112,0.005188090801239014,0.15372298479080201,0.00021992921829223634,0.15913100481033327,346110.87,256,64
25,256,370,415872,0.00647623062133789,0.22507863283157348,0.000281367301940918,0.2318362307548523,415870.99,256,64
30,256,380,492032,0.0060682535171508786,0.3104716372489929,0.00032995939254760743,0.3168698501586914,492030.95,256,64
35,256,390,574592,0.006355414390563965,0.44197343587875365,0.00039936304092407225,0.4487282133102417,574590.81,256,64
