alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits,lambda,m_max
5,128,170,32256,0.0009854435920715332,0.0012434792518615722,1.4142990112304688e-05,0.00224306583404541,32254.96,128,32
10,128,180,49445,0.0011773490905761718,0.003243246078491211,2.443075180053711e-05,0.00444502592086792,49443.89,128,32
15,128,190,70291,0.00139845609664917,0.00631289005279541,3.605365753173828e-05,0.0077473998069763185,70290.0,128,32
20,128,200,94794,0.0015347099304199219,0.011510024070739746,4.6832561492919924e-05,0.013091566562652588,94793.12,128,32
25,128,210,122954,0.001391465663909912,0.019235525131225586,5.973339080810547e-05,0.0206867241859436,122953.16,128,32
30,128,220,154771,0.0018242406845092774,0.030354135036468506,7.771015167236328e-05,0.03225608587265015,154769.76,128,32
35,128,230,190245,0.0019124484062194825,0.04725372314453125,9.759187698364257e-05,0.04926376342773438,190244.01,128,32
