lambda,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
83,0.002655837535858154,0.006031172275543213,9.977817535400391e-06,0.008696987628936767,25204.9
84,0.0032861804962158203,0.006230180263519287,9.989738464355468e-06,0.009526350498199464,25439.71
85,0.0010069799423217773,0.006857411861419678,0.0,0.007864391803741455,25673.8
86,0.0019817256927490232,0.006300125122070312,0.0,0.008281850814819336,25907.79
87,0.0029829907417297363,0.006369752883911133,6.432533264160156e-06,0.00935917615890503,26141.27
88,0.0022130990028381347,0.006765964031219482,1.6460418701171876e-05,0.008995523452758789,26374.21
89,0.0026169657707214356,0.0061995148658752445,9.968280792236329e-06,0.008826448917388915,26606.51
90,0.002729799747467041,0.006243581771850586,5.612373352050781e-06,0.008978993892669677,26838.69
91,0.0034601807594299315,0.006277480125427246,2.35748291015625e-05,0.00976123571395874,27070.96
92,0.0035836076736450195,0.010073099136352539,3.564119338989258e-05,0.01369234800338745,27302.02
93,0.00572235107421875,0.01133249044418335,7.535457611083984e-05,0.01713019609451294,27532.99
94,0.006256551742553711,0.013002514839172363,0.00013103008270263673,0.019390096664428712,27763.37
95,0.00132871150970459,0.007498643398284912,0.0,0.008827354907989502,27993.29
96,0.001834738254547119,0.007183527946472168,0.0,0.009018266201019287,28223.52
97,0.0021166443824768067,0.006797976493835449,0.0002610182762145996,0.009175639152526855,28452.97
98,0.0021114015579223634,0.00703880786895752,8.033275604248047e-05,0.009230542182922364,28681.65
99,0.0018456196784973145,0.007023940086364746,0.0,0.008869559764862062,28910.53
100,0.002184121608734131,0.006680996417999268,0.0,0.008865118026733398,29138.9
