alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
5,256,298,56448,0.009051692485809327,0.027474203109741212,0.0,0.03652589559555054,56447.16
10,256,308,86528,0.010086002349853516,0.06298208236694336,2.0258426666259765e-05,0.07308834314346313,86526.8
15,256,318,123008,0.010651111602783203,0.12782586097717286,0.00017490863800048828,0.13865188121795655,123006.77
20,256,328,165888,0.012450580596923827,0.23164930820465088,0.00016717195510864257,0.24426706075668336,165887.0
25,256,338,215168,0.011461169719696044,0.3974715256690979,0.0001536726951599121,0.4090863680839538,215167.15
30,256,348,270848,0.01465437412261963,0.6549062752723693,0.0002572464942932129,0.6698178958892822,270846.96
35,256,358,332928,0.015223555564880371,1.0510194683074952,0.0003107285499572754,1.0665537524223327,332927.03
