alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
5,256,298,56448,0.0032935476303100585,0.003874328136444092,3.0858516693115236e-05,0.007198734283447266,56447.06
10,256,308,86528,0.0029246044158935548,0.00918419599533081,4.979848861694336e-05,0.012158598899841309,86526.96
15,256,318,123008,0.004191184043884277,0.018454124927520753,7.021188735961914e-05,0.02271552085876465,123007.2
20,256,328,165888,0.0036259984970092776,0.03358669281005859,9.29117202758789e-05,0.03730560302734375,165887.05
25,256,338,215168,0.004653258323669434,0.057825384140014646,0.00013582944869995118,0.06261447191238403,215167.13
30,256,348,270848,0.004566500186920166,0.09115610599517822,0.0001638460159301758,0.09588645219802855,270847.12
35,256,358,332928,0.004757130146026611,0.13773139476776122,0.000205841064453125,0.14269436597824095,332926.98
