alpha,rho,eta,gamma,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
5,128,202,100133,0.001605682373046875,8.847713470458984e-06,1.1110305786132813e-06,0.0016156411170959472,645.23
10,128,212,129024,0.001685185432434082,1.5060901641845704e-05,2.1004676818847657e-06,0.0017023468017578127,2637.05
15,128,222,161573,0.0019514989852905274,4.761457443237305e-05,3.9768218994140624e-06,0.0020030903816223144,6053.03
20,128,232,197779,0.0018145084381103516,0.00014867544174194337,6.358623504638672e-06,0.0019695425033569337,10972.34
25,128,242,237642,0.002208445072174072,0.00037852764129638674,1.0242462158203125e-05,0.0025972151756286617,17472.87
30,128,252,281162,0.0024642348289489746,0.000850522518157959,1.5368461608886717e-05,0.00333012580871582,25632.72
35,128,262,328339,0.0026207852363586428,0.001584162712097168,1.949310302734375e-05,0.004224441051483154,35528.9
